id: "(Head) Masato Datajack"
type: ItemType_Cyberware
uirep {
  icon: "icon_cyber_datajack"
  name: "Custom Datajack"
  description: "Originally manufactured in the JIS, Masato has heavily modified this datajack to support his preferred style of rigging.."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Decking
forceRating: 1
apCost: 1
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 2
noiseRounds: 1
modelessAbilities: "Decker Mark Target 1"
modelessAbilities: "Decker Mark Target 2"
modelessAbilities: "Decker Mark Target 2 (Armor Strip)"
modelessAbilities: "Decker Mark Target 3"
modelessAbilities: "Decker Mark Target 3 (Armor Strip)"
modelessAbilities: "Aimbot"
modelessAbilities: "Overclock (Masato)"
modelessAbilities: "Counterstrike (Masato)"
affectsFriendly: true
affectsEnemy: false
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
isBuff: true
equippedStatusEffects {
  statMods {
    attribute: Attribute_Magic_Essence
    floatModValue: -0.5
  }
}
cyberware_type: CyberwareType_Head
is_cyberware_datajack: true
store_cost: 500
sorting_group: "CyberwareHead"
