id: "Boss Claw Swipe"
type: ItemType_Unarmed
uirep {
  icon: "icon_melee"
  name: "Claw Swipe"
  description: "A crushing claw attack that does 14 HP DMG."
}
anim_type: AnimType_Null
coreAttribute: Attribute_Strength
coreSkill: Skill_CloseCombat
coreSpecialization: Specialization_CC_Unarmed
apCost: 1
baseHPDamage: 14
baseAPDamage: 0
rangeModTable: 0
noiseLevel: 0
noiseRounds: 0
modelessAbilities: "Boss Melee"
affectsEnemy: true
canTargetActor: true
fxrep {
  preActionFxName: ""
  actionFxName: "HongKong:QianMinionClawSwipeAction"
  postActionFxName: ""
  hitReactionFxName: "ClawSwipeHitReaction"
  missReactionFxName: "UnarmedMissReaction"
}
sorting_group: "enemyWeapons"
