id: "Drone Resilient"
type: ItemType_Consumable
uirep {
  icon: "icon_item_fetishcharisma_spiritcontrol"
  name: "Tireless Package"
  description: "This drone gains immunity to stun and will automatically reload after depleting ammunition."
}
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Biotech
apCost: 1
prereqStrings: "Player.RACE != RACE.CREATURE"
maxAmmo: 0
rangeModTable: 0
noiseLevel: 0
noiseRounds: 0
isMagic: true
passiveStatusEffects {
  statusConditions: Condition_AutoReload
  statusConditions: Condition_NoStun
}
store_cost: 10
sorting_group: "ssCrewItem"
