id: "Enemy_DroneMinigun"
type: ItemType_Rifle
uirep {
  icon: "icon_gun_spiderTankMachineGun"
  name: "Spider Tank Minigun"
  description: "Rifle: Six rotating barrels with an impressive rate of fire, for mount on a drone or vehicle."
}
anim_type: AnimType_Null
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Rifle
apCost: 1
is_unique: true
maxAmmo: 99
baseHPDamage: 10
baseAPDamage: 0
rangeModTable: 12
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 8
rangeModTable: 6
rangeModTable: 4
effectModTable: 0.75
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.25
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
spreadAngle: 9.49
modelessAbilities: "Shoot (Spider Minigun Burst)"
modelessAbilities: "Shoot (Spider Minigun Full Auto)"
affectsEnemy: true
canTargetActor: true
store_cost: 5000
sorting_group: "Rifles"
maim_always: true
