id: "HealthPack_Homemade"
type: ItemType_Consumable
uirep {
  icon: "icon_medkit"
  name: "Homemade Medkit"
  description: "Just as good as store-bought, without the logo or the resale value. Consumed when used. Can be used outside of combat."
}
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Biotech
apCost: 1
prereqStrings: "Player.RACE != RACE.CREATURE"
maxAmmo: 0
baseHPDamage: 10
baseAPDamage: 0
rangeModTable: 0
noiseLevel: 0
noiseRounds: 0
modelessAbilities: "Heal"
affectsFriendly: true
canTargetSelf: true
canTargetActor: true
store_cost: 10
sorting_group: "Healing"
damageType: VulnerabilityType_Heal
