id: "HealthPack_Homemade_med"
type: ItemType_Consumable
uirep {
  icon: "icon_droneDrug_Jazz"
  name: "Recycled Medkit"
  description: "The price drops after opening the original packaging. Consumed when used. Can be used outside of combat."
}
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Biotech
apCost: 1
prereqStrings: "Player.RACE != RACE.CREATURE"
maxAmmo: 0
baseHPDamage: 18
baseAPDamage: 0
rangeModTable: 0
noiseLevel: 0
noiseRounds: 0
modelessAbilities: "Heal"
affectsFriendly: true
canTargetSelf: true
canTargetActor: true
store_cost: 20
sorting_group: "Healing"
damageType: VulnerabilityType_Heal
