id: "Spell Heal Bolt 1"
type: ItemType_AttackSpell
uirep {
  icon: "icon_spell_mage_blood_bolt_1"
  name: "Heal Bolt"
  description: "Arelia targets allies for aid."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Willpower
coreSkill: Skill_Spellcasting
apCost: 1
maxAmmo: 0
baseHPDamage: 4
baseAPDamage: 0
rangeModTable: 8
rangeModTable: 8
rangeModTable: 8
rangeModTable: 6
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
noiseLevel: 4
noiseRounds: 1
modelessAbilities: "Heal Wound Spell Arelia Upgraded"
modelessAbilities: "Heal Wound Spell Arelia Final"
modelessAbilities: "Heal Wound Spell Arelia"
modelessAbilities: "Resolute"
modelessAbilities: "Transfusion"
modelessAbilities: "Veil"
modelessAbilities: "Arelia Universal"
affectsFriendly: true
affectsEnemy: true
affectsDronesOnly: false
canTargetActor: true
canTargetSelf: false
isMagic: false
fxrep {
  preActionFxName: "Berlin:BloodMageSpellPrepare"
  actionFxName: "Berlin:BloodMagePowerBoltThrowAction"
  postActionFxName: ""
  hitReactionFxName: "Berlin:BloodSpellHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
store_cost: 100
sorting_group: "Spellcasting (Mage)"
damageType: VulnerabilityType_Bleed
successCasterStatusEffects {
  uirep {
    icon: "icon_manaball2"
    name: "Heal: 2 HP per RND"
  }
  stackingCategory: "BloodHeal"
  statMods {
    attribute: Attribute_HP
    intModValue: 2
  }
  fxScript: "GenericSpellStatus"
  is_ignore_armor: true
  is_buff: true
}
success_caster_effect_duration: 2
