id: "Spell Jump"
type: ItemType_Shaman
uirep {
  icon: "icon_flushtarget"
  name: "Jump"
  description: "The selected ally will auto-dodge the next attack made against them. Isao gains a slight boost to his accuracy. Lasts for 2 RNDs."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Willpower
coreSkill: Skill_ChiCasting
forceRating: 7
apCost: 1
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 0
noiseRounds: 0
modelessAbilities: "Spirit Heat Wave"
affectsFriendly: true
affectsEnemy: false
canTargetSelf: false
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
isBuff: true
cooldown: 3
isMagic: false
effectDuration: 2
fxrep {
  preActionFxName: "GenericSpellPrepare"
  actionFxName: "GenericSpellCastAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellBuffHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
activationStatusEffects {
  uirep {
    icon: "icon_manaball2"
    name: "Jump: Auto-dodge"
  }
  statusConditions: Condition_AutoDodge
  is_buff: true
}
store_cost: 10
sorting_group: "Unique"
damageType: VulnerabilityType_Buff
successCasterStatusEffects {
  uirep {
    icon: "icon_manaball2"
    name: "Jump: Accuracy +3%"
  }
  statMods {
    attribute: Attribute_Accuracy
    intModValue: 3
  }
  is_buff: true
}
success_caster_effect_duration: 2
